City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Turbat,PK,70.97,clear sky,26.0023,63.044,Mubashar Quarters
220,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
221,Nouadhibou,MR,66.18,scattered clouds,20.931,-17.0347,El Medina
223,Rumphi,MW,64.15,overcast clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
225,Dunedin,NZ,55.36,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
226,Fallon,US,55.27,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
230,Huilong,CN,54.79,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
235,Tahta,EG,67.89,scattered clouds,26.7693,31.5021,مصطفي عساف
236,Half Moon Bay,US,73.27,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
241,Odweyne,SO,70.34,overcast clouds,9.4092,45.064,Eng Hiirey House
243,Nipani,IN,64.36,broken clouds,16.4,74.3833,Rohan
245,Baghdad,IQ,53.51,clear sky,33.3406,44.4009,Baghdad Hotel
251,Ponta Delgada,PT,61.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
254,Karaton,ID,73.56,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
255,Kuliyapitiya,LK,73.58,overcast clouds,7.4688,80.0401,Rest House
259,Kikwit,CD,69.55,few clouds,-5.041,18.8162,HOTEL PLACE YALABA
260,Jasper,US,60.85,few clouds,37.2001,-94.3502,Guest House Motel
261,Laibin,CN,56.34,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
262,Ibra,OM,66.96,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
263,Benjamin Hill,MX,71.85,clear sky,30.1667,-111.1,Hotel Benjamín Hill
264,Ancud,CL,56.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
265,Gold Coast,AU,71.67,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
267,Camana,PE,68.59,broken clouds,-16.6228,-72.7111,Hostal Morales
269,Constitucion,CL,58.46,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
272,Riyadh,SA,64.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
275,Patiya,BD,58.91,broken clouds,22.2931,91.9762,Mickey's home
276,Ponta Do Sol,PT,63.23,few clouds,32.6667,-17.1,Hotel do Campo
279,Arraial Do Cabo,BR,72.34,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
282,Praia Da Vitoria,PT,59.25,broken clouds,38.7333,-27.0667,Hotel Branco I
303,Phan Thiet,VN,74.46,overcast clouds,10.9333,108.1,Hotel Saigon-PT
307,Tacoronte,ES,58.14,scattered clouds,28.4769,-16.4102,Casa Laurel
309,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
312,Pokhara,NP,54.9,clear sky,28.2333,83.9833,Butterfly Lodge
315,Sabha,LY,72.88,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
320,Mildura,AU,69.76,clear sky,-34.2,142.15,Mercure Hotel Mildura
323,Christchurch,NZ,53.8,mist,-43.5333,172.6333,The George
328,Port Lincoln,AU,60.46,clear sky,-34.7333,135.8667,Port Lincoln Hotel
333,Ranfurly,NZ,54.5,overcast clouds,-45.1333,170.1,Ranfurly Holiday Park Motels & Cabins
337,Forbes,AU,60.42,broken clouds,-33.3833,148.0167,Lake Forbes Motel
338,Curup,ID,68.02,overcast clouds,-3.4667,102.5333,Ayi The Costel
342,Molo,KE,53.13,overcast clouds,-0.2479,35.7374,EEL HOTEL
343,Mount Gambier,AU,55.58,clear sky,-37.8333,140.7667,The Commodore
347,Praxedis Guerrero,MX,60.39,scattered clouds,31.3667,-106.0167,Congregación placitas de Otero
350,Gat,IL,57.88,few clouds,31.61,34.7642,OlusHome
357,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
358,Ngunguru,NZ,65.14,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
359,Portland,US,61.38,light rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
361,Pauini,BR,73.27,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
364,Sanghar,PK,60.87,broken clouds,26.0466,68.9481,Goklani House گوکلانی ہائوس
368,Pacifica,US,69.53,scattered clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
372,Itabira,BR,63.75,overcast clouds,-19.6192,-43.2269,Premium Executive Hotel
373,Sampit,ID,73.71,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
377,Siderno,IT,57.09,clear sky,38.2779,16.302,Grand Hotel President
379,Lakes Entrance,AU,58.78,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
381,Soanierana Ivongo,MG,73.9,light rain,-16.9167,49.5833,La Concorde
382,Canton,CN,58.95,scattered clouds,23.1167,113.25,Guangzhou Hotel
383,Mount Pleasant,US,55.54,clear sky,32.7941,-79.8626,Best Western Patriots Point
386,Prachuap Khiri Khan,TH,64.78,broken clouds,12.2167,99.75,ผกากรองรีสอร์ท
388,Uruana,BR,73.94,light rain,-15.4981,-49.6875,Hotel E Restaurante Bom Jesus
389,Marsa Matruh,EG,71.8,broken clouds,31.3525,27.2453,Beau Site
394,Faya,SA,57.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
