City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,90,24.16,light snow
80,Yakeshi,CN,49.2833,120.7333,11.88,95,100,4.29,overcast clouds
81,Georgetown,MY,5.4112,100.3354,76.95,94,20,2.3,few clouds
82,Sumbawanga,TZ,-7.9667,31.6167,62.22,80,93,4.54,light rain
83,Grand-Lahou,CI,5.1367,-5.0242,79.27,86,38,10.04,scattered clouds
84,Mahebourg,MU,-20.4081,57.7,73.69,88,40,5.75,scattered clouds
85,Funadhoo,MV,6.15,73.2667,81.1,78,96,13.89,overcast clouds
86,Tuatapere,NZ,-46.1333,167.6833,57.56,52,33,1.88,scattered clouds
87,Ilulissat,GL,69.2167,-51.1,24.82,58,75,18.41,broken clouds
88,Dudinka,RU,69.4058,86.1778,-1.52,95,100,11.74,overcast clouds
89,Coihaique,CL,-45.5752,-72.0662,57.15,41,75,6.91,broken clouds
90,Airai,TL,-8.9266,125.4092,63.21,88,98,1.45,overcast clouds
91,Tiksi,RU,71.6872,128.8694,-5.71,97,100,7.0,overcast clouds
92,Richards Bay,ZA,-28.783,32.0377,67.26,70,29,17.87,scattered clouds
93,Zabol,AF,32.25,67.25,35.89,47,10,2.08,clear sky
94,Vardo,NO,70.3705,31.1107,24.37,77,57,11.3,broken clouds
95,Dhidhdhoo,MV,6.8833,73.1,80.92,79,100,11.32,overcast clouds
96,Ainazi,LV,57.8636,24.3578,29.66,83,100,17.07,overcast clouds
97,Kodiak,US,57.79,-152.4072,17.11,53,1,19.57,clear sky
98,Gravdal,NO,68.1214,13.5031,27.45,79,93,14.7,overcast clouds
99,Meulaboh,ID,4.1363,96.1285,76.1,86,90,5.44,light rain
100,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,40,5.75,scattered clouds
101,Zyryanovsk,KZ,49.7386,84.2719,-6.32,95,99,1.63,overcast clouds
102,Isangel,VU,-19.55,169.2667,82.51,78,75,11.5,broken clouds
103,Susehri,TR,40.1644,38.0867,45.84,91,100,2.77,overcast clouds
104,Riviere-Au-Renard,CA,48.9957,-64.3971,37.69,95,100,9.89,overcast clouds
105,Urubicha,BO,-15.3833,-62.95,85.68,56,57,4.9,broken clouds
106,Cururupu,BR,-1.8283,-44.8683,77.5,83,61,3.11,broken clouds
